NumNodes,GroupSize,AvgDeg,InfRate,NumInfected
1000000, 50, 26, 0, 1
1000000, 50, 26, 0, 1
1000000, 50, 26, 0, 1
1000000, 50, 26, 0, 1
1000000, 50, 26, 0, 1
1000000, 50, 26, 0, 1
1000000, 50, 26, 0, 1
1000000, 50, 26, 0, 1
1000000, 50, 26, 0, 1
1000000, 50, 26, 0, 1
1000000, 50, 26, 100, 3
1000000, 50, 26, 100, 3
1000000, 50, 26, 100, 2
1000000, 50, 26, 100, 3
1000000, 50, 26, 100, 3
1000000, 50, 26, 100, 3
1000000, 50, 26, 100, 3
1000000, 50, 26, 100, 3
1000000, 50, 26, 100, 3
1000000, 50, 26, 100, 3
1000000, 50, 26, 200, 3
1000000, 50, 26, 200, 3
1000000, 50, 26, 200, 3
1000000, 50, 26, 200, 4
1000000, 50, 26, 200, 4
1000000, 50, 26, 200, 4
1000000, 50, 26, 200, 4
1000000, 50, 26, 200, 4
1000000, 50, 26, 200, 4
1000000, 50, 26, 200, 3
1000000, 50, 26, 300, 4
1000000, 50, 26, 300, 5
1000000, 50, 26, 300, 4
1000000, 50, 26, 300, 4
1000000, 50, 26, 300, 5
1000000, 50, 26, 300, 4
1000000, 50, 26, 300, 4
1000000, 50, 26, 300, 4
1000000, 50, 26, 300, 4
1000000, 50, 26, 300, 5
1000000, 50, 26, 400, 5
1000000, 50, 26, 400, 4
1000000, 50, 26, 400, 5
1000000, 50, 26, 400, 6
1000000, 50, 26, 400, 4
1000000, 50, 26, 400, 5
1000000, 50, 26, 400, 5
1000000, 50, 26, 400, 5
1000000, 50, 26, 400, 5
1000000, 50, 26, 400, 5
1000000, 50, 26, 500, 6
1000000, 50, 26, 500, 7
1000000, 50, 26, 500, 5
1000000, 50, 26, 500, 5
1000000, 50, 26, 500, 6
1000000, 50, 26, 500, 6
1000000, 50, 26, 500, 7
1000000, 50, 26, 500, 5
1000000, 50, 26, 500, 6
1000000, 50, 26, 500, 6
1000000, 50, 26, 600, 7
1000000, 50, 26, 600, 8
1000000, 50, 26, 600, 6
1000000, 50, 26, 600, 6
1000000, 50, 26, 600, 6
1000000, 50, 26, 600, 8
1000000, 50, 26, 600, 7
1000000, 50, 26, 600, 9
1000000, 50, 26, 600, 6
1000000, 50, 26, 600, 7
1000000, 50, 26, 700, 8
1000000, 50, 26, 700, 8
1000000, 50, 26, 700, 10
1000000, 50, 26, 700, 8
1000000, 50, 26, 700, 8
1000000, 50, 26, 700, 7
1000000, 50, 26, 700, 7
1000000, 50, 26, 700, 8
1000000, 50, 26, 700, 8
1000000, 50, 26, 700, 9
1000000, 50, 26, 800, 10
1000000, 50, 26, 800, 8
1000000, 50, 26, 800, 11
1000000, 50, 26, 800, 9
1000000, 50, 26, 800, 11
1000000, 50, 26, 800, 11
1000000, 50, 26, 800, 9
1000000, 50, 26, 800, 10
1000000, 50, 26, 800, 9
1000000, 50, 26, 800, 9
1000000, 50, 26, 900, 12
1000000, 50, 26, 900, 11
1000000, 50, 26, 900, 11
1000000, 50, 26, 900, 10
1000000, 50, 26, 900, 11
1000000, 50, 26, 900, 10
1000000, 50, 26, 900, 13
1000000, 50, 26, 900, 11
1000000, 50, 26, 900, 11
1000000, 50, 26, 900, 10
1000000, 50, 26, 1000, 13
1000000, 50, 26, 1000, 11
1000000, 50, 26, 1000, 13
1000000, 50, 26, 1000, 11
1000000, 50, 26, 1000, 12
1000000, 50, 26, 1000, 11
1000000, 50, 26, 1000, 12
1000000, 50, 26, 1000, 11
1000000, 50, 26, 1000, 12
1000000, 50, 26, 1000, 13
1000000, 50, 26, 1100, 14
1000000, 50, 26, 1100, 19
1000000, 50, 26, 1100, 13
1000000, 50, 26, 1100, 16
1000000, 50, 26, 1100, 14
1000000, 50, 26, 1100, 16
1000000, 50, 26, 1100, 15
1000000, 50, 26, 1100, 16
1000000, 50, 26, 1100, 15
1000000, 50, 26, 1100, 17
1000000, 50, 26, 1200, 18
1000000, 50, 26, 1200, 18
1000000, 50, 26, 1200, 22
1000000, 50, 26, 1200, 19
1000000, 50, 26, 1200, 20
1000000, 50, 26, 1200, 20
1000000, 50, 26, 1200, 16
1000000, 50, 26, 1200, 17
1000000, 50, 26, 1200, 19
1000000, 50, 26, 1200, 17
1000000, 50, 26, 1300, 19
1000000, 50, 26, 1300, 22
1000000, 50, 26, 1300, 20
1000000, 50, 26, 1300, 19
